"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1,D3,D2";"LED_D8.0mm";3;"LED";;;
2;"C4,C3";"CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal";2;"C_Polarized";;;
3;"J5";"PinSocket_1x06_P1.00mm_Vertical";1;"PORTC";;;
4;"R1,R2,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"R";;;
5;"D4";"TSSOP-4_4.4x5mm_P4mm";1;"MDB10S";;;
6;"J3";"PinSocket_1x05_P1.00mm_Vertical";1;"Conn_01x05_Socket";;;
7;"SW2";"SW_MINI-SPDT-SW";1;"SW_SPDT";;;
8;"C2,C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"20pf";;;
9;"U1";"DIP-28_W7.62mm";1;"ATmega328-P";;;
10;"J7";"TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
11;"SW1";"SW_PUSH_6mm_H4.3mm";1;"SW_Push";;;
12;"J2";"PinSocket_1x03_P1.00mm_Vertical";1;"PORTD1";;;
13;"J1";"IDC-Header_2x05_P2.54mm_Horizontal";1;"AVR-ISP-10";;;
14;"J4";"PinSocket_1x03_P1.00mm_Vertical";1;"PORTD2";;;
15;"U2";"TO-220-3_Vertical";1;"LM7805_TO220";;;
16;"Y1";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
17;"J6";"PinSocket_1x06_P1.00mm_Vertical";1;"PORTA";;;
